month;user_id;username;email;kota;total_visit;total_order;total_amount
2016-12;58;Nadia Persadani;nadiapersadani@roketmail.com;Depok;113;29;363348
2017-01;2;Ferdiansyah Amalina;ferdiansyahamalina@yahoo.com;Bekasi;56;25;506519
2017-01;3;Ficky Rizkyananta;fickyrizkyananta@hotmail.com;Depok;65;9;87046
2017-01;15;Reynard Ramadhansyah;reynardramadhansyah@gmail.com;Jakarta Selatan;52;35;264804
2017-01;31;Eka Tiodimar;ekatiodimar@roketmail.com;Jakarta Utara;18;24;859851
2017-02;77;Amanda Idayu;amandaidayu@yahoo.com;Jakarta Pusat;98;14;50989
2017-02;60;Hanifa Ivangkia;hanifaivangkia@gmail.com;Depok;124;20;95742
2017-02;72;Bella Listyani;bellalistyani@hotmail.com;Depok;13;4;24811
2017-03;40;Garin Sugiyanto;garinsugiyanto@yahoo.com;Bekasi;35;37;560880
2017-03;12;Sutrisno Rizal;sutrisnorizal@outlook.com;Depok;99;21;187650
2017-04;33;Rinaldy Octaza;rinaldyoctaza@outlook.com;Jakarta Utara;14;34;184073
2017-04;75;June Andjani;juneandjani@gmail.com;Jakarta Utara;60;17;79448
2017-06;5;Jeremiah Dinanti;jeremiahdinanti@roketmail.com;Bekasi;47;15;63517
2017-06;37;Faishal Listisni;faishallistisni@outlook.com;Tangerang;79;15;65063
2017-06;47;Anton Fikri;antonfikri@hotmail.com;Depok;111;28;781378
2017-06;61;Amadea Octaza;amadeaoctaza@roketmail.com;Jakarta Timur;61;2;44202
2017-06;85;Retno Maulinda;retnomaulinda@roketmail.com;Jakarta Barat;22;31;923876
2017-07;55;Anastasia Primanelza;anastasiaprimanelza@roketmail.com;Jakarta Pusat;67;1;29871
2017-08;8;Dikposa Yosua Krisnanto;dikposayosuakrisnanto@hotmail.com;Jakarta Pusat;113;6;13820
2017-08;27;Doni Teddo Prasetyani;doniteddoprasetyani@yahoo.com;Jakarta Selatan;57;25;675792
2017-08;45;Maruto Asih;marutoasih@yahoo.com;Jakarta Utara;44;18;39291
2017-09;43;Yusuf Tilasnuari;yusuftilasnuari@hotmail.com;Jakarta Selatan;90;2;52541
2017-09;44;Lukman Naufal Simorangkir;lukmannaufalsimorangkir@gmail.com;Depok;46;18;38701
2017-10;68;Reny Oktavianty;renyoktavianty@gmail.com;Jakarta Pusat;24;34;109076
2017-11;70;Fathina Narimanda;fathinanarimanda@yahoo.com;Depok;93;10;98399
2017-12;26;Rian Mufti;rianmufti@outlook.com;Jakarta Utara;66;26;771989
2018-01;82;Tresna Rianita Prasojo;tresnarianitaprasojo@yahoo.com;Jakarta Selatan;37;38;517331
2018-01;77;Amanda Idayu;amandaidayu@yahoo.com;Jakarta Pusat;98;23;437794
2018-01;76;Kautsar Jaelani;kautsarjaelani@yahoo.com;Jakarta Timur;71;11;53524
2018-02;20;Yutama Riahdita;yutamariahdita@gmail.com;Jakarta Barat;21;30;383207
2018-03;56;Anna Usra;annausra@roketmail.com;Jakarta Timur;17;4;18925
2018-03;37;Faishal Listisni;faishallistisni@outlook.com;Tangerang;79;18;42124
2018-03;1;Fakhrul Fandy Widyaningtias;fakhrulfandywidyaningtias@outlook.com;Depok;53;40;371808
2018-03;28;Fahmi Haq;fahmihaq@gmail.com;Depok;124;34;983767
2018-03;63;Rocitha Mufti;rocithamufti@roketmail.com;Bekasi;21;9;20787
2018-04;62;Auzy Narendra;auzynarendra@outlook.com;Tangerang;54;38;630449
2018-05;11;Omar Afini;omarafini@gmail.com;Jakarta Timur;36;29;970183
2018-08;66;Clara Amira;claraamira@hotmail.com;Depok;26;25;800060
2018-08;26;Rian Mufti;rianmufti@outlook.com;Jakarta Utara;66;31;583615
2018-09;42;Geraldi Lalo;geraldilalo@hotmail.com;Jakarta Selatan;76;2;55285
2018-09;12;Sutrisno Rizal;sutrisnorizal@outlook.com;Depok;99;31;866506
2018-11;47;Anton Fikri;antonfikri@hotmail.com;Depok;111;26;922950
2018-11;80;Yosia Jaya;yosiajaya@yahoo.com;Jakarta Selatan;30;6;19727
2018-12;26;Rian Mufti;rianmufti@outlook.com;Jakarta Utara;66;28;633871
2019-01;20;Yutama Riahdita;yutamariahdita@gmail.com;Jakarta Barat;21;3;65628
2019-02;12;Sutrisno Rizal;sutrisnorizal@outlook.com;Depok;99;1;62970
2019-02;29;Rheza Novianti;rhezanovianti@yahoo.com;Bekasi;35;17;87444
2019-03;73;Natasha Fadholi;natashafadholi@gmail.com;Jakarta Selatan;100;20;75820
2019-03;31;Eka Tiodimar;ekatiodimar@roketmail.com;Jakarta Utara;18;8;53924
2019-05;69;Salsabila Resa;salsabilaresa@hotmail.com;Jakarta Pusat;34;37;742086
2019-06;61;Amadea Octaza;amadeaoctaza@roketmail.com;Jakarta Timur;61;24;440617
2019-06;27;Doni Teddo Prasetyani;doniteddoprasetyani@yahoo.com;Jakarta Selatan;57;15;66971
2019-06;11;Omar Afini;omarafini@gmail.com;Jakarta Timur;36;36;356104
2019-07;72;Bella Listyani;bellalistyani@hotmail.com;Depok;13;5;25549
2019-07;27;Doni Teddo Prasetyani;doniteddoprasetyani@yahoo.com;Jakarta Selatan;57;14;54620
2019-07;17;Rifqy Butar-butar;rifqybutar-butar@yahoo.com;Bekasi;24;27;847898
2019-08;56;Anna Usra;annausra@roketmail.com;Jakarta Timur;17;19;31486
2019-09;15;Reynard Ramadhansyah;reynardramadhansyah@gmail.com;Jakarta Selatan;52;40;824367
2019-09;33;Rinaldy Octaza;rinaldyoctaza@outlook.com;Jakarta Utara;14;31;858490
2019-09;19;Andi Mayasopha;andimayasopha@yahoo.com;Jakarta Pusat;101;19;43500
2019-10;10;Bob Arisa;bobarisa@yahoo.com;Tangerang;51;31;327976
2019-10;46;Azrul Satria;azrulsatria@yahoo.com;Jakarta Utara;35;26;230776
2019-11;73;Natasha Fadholi;natashafadholi@gmail.com;Jakarta Selatan;100;35;343083
2019-12;74;Berty Yulianti;bertyyulianti@gmail.com;Depok;121;29;154388
2019-12;72;Bella Listyani;bellalistyani@hotmail.com;Depok;13;19;39122
2019-12;75;June Andjani;juneandjani@gmail.com;Jakarta Utara;60;26;645642
2019-12;45;Maruto Asih;marutoasih@yahoo.com;Jakarta Utara;44;20;82843
2019-12;50;Rizki Faishal Apriyani;rizkifaishalapriyani@roketmail.com;Jakarta Timur;28;17;11615
2019-12;64;Amalia Widi Abelardo;amaliawidiabelardo@outlook.com;Depok;10;36;232972
2020-01;88;Hasan Sadikin;hasansdk@yahoo.co.id;Bekasi;40;25;150000
2020-01;20;Yutama Riahdita;yutamariahdita@gmail.com;Jakarta Barat;21;3;65500
2020-02;12;Sutrisno Rizal;sutrisnorizal@outlook.com;Depok;99;1;63000
2020-02;29;Rheza Novianti;rhezanovianti@yahoo.com;Bekasi;35;17;88000
2020-03;73;Natasha Fadholi;natashafadholi@gmail.com;Jakarta Selatan;100;20;75820
2020-03;31;Eka Tiodimar;ekatiodimar@roketmail.com;Jakarta Utara;18;8;53924
2020-05;69;Salsabila Resa;salsabilaresa@hotmail.com;Jakarta Pusat;34;37;742086
2020-06;61;Amadea Octaza;amadeaoctaza@roketmail.com;Jakarta Timur;61;24;440617
2020-06;27;Doni Teddo Prasetyani;doniteddoprasetyani@yahoo.com;Jakarta Selatan;57;15;66971
2020-06;11;Omar Afini;omarafini@gmail.com;Jakarta Timur;36;36;356104
2020-07;72;Bella Listyani;bellalistyani@hotmail.com;Depok;13;5;25549
2020-07;27;Doni Teddo Prasetyani;doniteddoprasetyani@yahoo.com;Jakarta Selatan;57;14;54620
2020-07;17;Rifqy Butar-butar;rifqybutar-butar@yahoo.com;Bekasi;24;27;847898
2020-08;56;Anna Usra;annausra@roketmail.com;Jakarta Timur;17;19;31486
2020-09;15;Reynard Ramadhansyah;reynardramadhansyah@gmail.com;Jakarta Selatan;52;40;824367
2020-09;33;Rinaldy Octaza;rinaldyoctaza@outlook.com;Jakarta Utara;14;31;858490
2020-09;19;Andi Mayasopha;andimayasopha@yahoo.com;Jakarta Pusat;101;19;43500
2020-10;10;Bob Arisa;bobarisa@yahoo.com;Tangerang;51;31;327976
2020-10;46;Azrul Satria;azrulsatria@yahoo.com;Jakarta Utara;35;26;230776
2020-11;74;Berty Yulianti;bertyyulianti@gmail.com;Depok;100;25;120000
2020-11;72;Bella Listyani;bellalistyani@hotmail.com;Depok;10;10;25000
2020-11;73;Natasha Fadholi;natashafadholi@gmail.com;Jakarta Selatan;100;35;343083
2020-12;74;Berty Yulianti;bertyyulianti@gmail.com;Depok;121;29;154388
2020-12;72;Bella Listyani;bellalistyani@hotmail.com;Depok;13;19;39122
2020-12;75;June Andjani;juneandjani@gmail.com;Jakarta Utara;60;26;645642
2020-12;45;Maruto Asih;marutoasih@yahoo.com;Jakarta Utara;44;20;82843
2020-12;50;Rizki Faishal Apriyani;rizkifaishalapriyani@roketmail.com;Jakarta Timur;28;17;35000
2020-12;64;Amalia Widi Abelardo;amaliawidiabelardo@outlook.com;Depok;10;36;232972
2020-12;60;Putri Gasani;putrigsn@gmail.com;Bekasi;80;70;540000
